ProteinKey	SaveDate	Author	ID	AC	DE	GN	OS
2653	05-Dec-02	wehi	AAN23132	AAN23132;	Hemolysin (Fragment).	hlyA.	Vibrio cholerae.
2654	05-Dec-02	wehi	AAN23133	AAN23133;	Hemolysin (Fragment).	hlyA.	Vibrio cholerae.
2655	05-Dec-02	wehi	AAN23134	AAN23134;	Hemolysin (Fragment).	hlyA.	Vibrio cholerae.
2656	05-Dec-02	wehi	AAN23135	AAN23135;	Hemolysin (Fragment).	hlyA.	Vibrio cholerae.
2843	05-Dec-02	wehi	AAN23914	AAN23914;	"[Similar to Mycobacterium tuberculosis polyphosphate glucokinase, (polyphosphate-glucose phosphotransferase) also similar to members of, ROK family of transcriptional regulators.]"	ppgK.	Bifidobacterium longum NCC2705.
2702	05-Dec-02	wehi	AAN44553	AAN44553;	"[Outer membrane channel, specific tolerance to colicin E1, segregation, of daughter chromosomes.]"	tolC.	Shigella flexneri 2a str. 301.
2657	05-Dec-02	wehi	AAN47376	AAN47376;	Alpha-hemolysin.	hlyA.	Leptospira interrogans serovar lai str. 56601.
2701	05-Dec-02	wehi	AAN51125	AAN51125;	Outer membrane protein tolC.	tolC.	Leptospira interrogans serovar lai str. 56601.
2703	05-Dec-02	wehi	AAN56879	AAN56879;	Outer membrane protein TolC.	tolC.	Shewanella oneidensis MR-1.
2680	05-Dec-02	wehi	AAN57287	AAN57287;	Toxin secretion ATP-binding protein.	rtxB.	Shewanella oneidensis MR-1.
2620	05-Dec-02	wehi	ACP_TREHY	O34163;	Acyl carrier protein (ACP) [Contains: Beta-hemolysin].	ACPP OR HLYA.	Treponema hyodysenteriae (Serpulina hyodysenteriae).
2704	05-Dec-02	wehi	C1QA_HUMAN	P02745;	"Complement C1q subcomponent, A chain precursor."	C1QA.	Homo sapiens (Human).
2705	05-Dec-02	wehi	C1QA_MOUSE	P98086;	"Complement C1q subcomponent, A chain precursor."	C1QA.	Mus musculus (Mouse).
2706	05-Dec-02	wehi	C1QA_RAT	P31720;	"Complement C1q subcomponent, A chain (Fragment)."	C1QA.	Rattus norvegicus (Rat).
2707	05-Dec-02	wehi	C1QB_HUMAN	P02746; Q96H17;	"Complement C1q subcomponent, B chain precursor."	C1QB.	Homo sapiens (Human).
2708	05-Dec-02	wehi	C1QB_MOUSE	P14106;	"Complement C1q subcomponent, B chain precursor."	C1QB.	Mus musculus (Mouse).
2709	05-Dec-02	wehi	C1QB_RAT	P31721;	"Complement C1q subcomponent, B chain precursor."	C1QB.	Rattus norvegicus (Rat).
