SN 1990T,0.0400,36.38,0.19,gold,,
SN 1990af,0.050,36.84,0.21,gold,,
SN 1990O,0.0307,35.90,0.20,gold,,
SN 1991S,0.0560,37.31,0.18,gold,,
SN 1991U,0.0331,35.54,0.20,gold,,
SN 1991ag,0.0141,34.13,0.25,gold,,
SN 1992J,0.0460,36.35,0.21,gold,,
SN 1992P,0.0265,35.64,0.20,gold,,
SN 1992aq,0.101,38.73,0.20,gold,,
SN 1992ae,0.075,37.77,0.19,gold,,
SN 1992au,0.061,37.30,0.22,gold,,
SN 1992al,0.0141,34.12,0.25,gold,,
SN 1992ag,0.0262,35.06,0.24,gold,,
SN 1992bl,0.0430,36.53,0.19,gold,,
SN 1992bh,0.0450,36.97,0.18,gold,,
SN 1992bg,0.036,36.17,0.19,gold,,
SN 1992bk,0.058,37.13,0.19,gold,,
SN 1992bs,0.063,37.67,0.19,gold,,
SN 1992bc,0.0186,34.96,0.22,gold,,
SN 1992bp,0.079,37.94,0.18,gold,,
SN 1992br,0.088,38.07,0.28,gold,,
SN 1992bo,0.0178,34.70,0.23,gold,,
SN 1993B,0.071,37.78,0.19,gold,,
SN 1993H,0.0251,35.09,0.21,gold,,
SN 1993O,0.052,37.16,0.18,gold,,
SN 1993ah,0.0286,35.53,0.21,gold,,
SN 1993ac,0.0490,36.90,0.20,gold,,
SN 1993ag,0.050,37.08,0.19,gold,,
SN 1993ae,0.0180,34.29,0.23,gold,,
SN 1994B,0.089,38.50,0.17,silver,,
SN 1994C,0.051,36.67,0.16,silver,,
SN 1994M,0.0244,35.09,0.20,gold,,
SN 1994Q,0.0290,35.70,0.19,gold,,
SN 1994S,0.0161,34.50,0.24,gold,,
SN 1994T,0.0360,36.01,0.20,gold,,
SN 1995E,0.0116,32.96,0.29,silver,,
SN 1995K,0.478,42.48,0.23,gold,,
SN 1995M,0.053,37.17,0.15,silver,,
SN 1995ap,0.230,40.44,0.46,silver,,
SN 1995ao,0.300,40.76,0.60,silver,,
SN 1995ae,0.067,37.54,0.34,silver,,
SN 1995az,0.450,42.13,0.21,gold,,
SN 1995ay,0.480,42.37,0.20,gold,,
SN 1995ax,0.615,42.85,0.23,gold,,
SN 1995aw,0.400,42.04,0.19,gold,,
SN 1995as,0.498,43.21,0.24,silver,,
SN 1995ar,0.465,42.81,0.22,silver,,
SN 1995ac,0.0490,36.52,0.20,gold,,
SN 1995ak,0.0219,34.70,0.22,gold,,
SN 1995ba,0.3880,42.07,0.19,gold,,
