# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367927193125e-10       4.159243875038e-15       3.526335238878e-13       0.000000000000e+00       8.134961862607e-09       4.445106361801e-10      -1.842798601329e-12 
    3       1.295935842598e-10       5.349252010695e-15       3.964503825800e-13       0.000000000000e+00       5.054137409204e-09       3.156333033451e-10      -1.397319385295e-12 
    4       1.227531404705e-10       4.642283938813e-15       3.707844142961e-13       0.000000000000e+00       3.519416608743e-09       2.389401763843e-10      -9.173079858164e-13 
    5       1.176267229248e-10       3.107558744322e-15       3.158737601374e-13       0.000000000000e+00       2.626727090593e-09       1.886559180661e-10      -5.125390320324e-13 
    6       1.141177691731e-10       1.741653158193e-15       2.544588323819e-13       0.000000000000e+00       2.049971308239e-09       1.534175294432e-10      -2.134639046918e-13 
    7       1.118388682948e-10       9.397189984308e-16       1.997870900668e-13       0.000000000000e+00       1.652438813040e-09       1.275601566769e-10      -2.190944318260e-14 
    8       1.105233830667e-10       6.029320450880e-16       1.576749586110e-13       0.000000000000e+00       1.365523235623e-09       1.079786528001e-10       7.665299602023e-14 
    9       1.099309999440e-10       4.823931190274e-16       1.294131930957e-13       0.000000000000e+00       1.150341445275e-09       9.281644435384e-11       1.051490822156e-13 
   10       1.098300451268e-10       4.113071718499e-16       1.137381297658e-13       0.000000000000e+00       9.837059599901e-10       8.082175504793e-11       8.912621965788e-14 
   11       1.101702182773e-10       3.458801475952e-16       1.079860720860e-13       0.000000000000e+00       8.273487876456e-10       7.141613603360e-11       5.254903424095e-14 
   12       1.107964254232e-10       3.010041680999e-16       1.090962255392e-13       0.000000000000e+00       7.227777666331e-10       6.313591549341e-11       1.299461958883e-14 
   13       1.116611532285e-10       2.881053839777e-16       1.143922951005e-13       0.000000000000e+00       6.369494017707e-10       5.641775598303e-11      -1.741060483184e-14 
   14       1.127247687377e-10       2.996695493514e-16       1.218234152653e-13       0.000000000000e+00       5.655545949978e-10       5.057756853393e-11      -3.424157838290e-14 
   15       1.139688048623e-10       3.239261953933e-16       1.300820424574e-13       0.000000000000e+00       5.054682270327e-10       4.566059419341e-11      -3.757351178800e-14 
   16       1.153152271227e-10       3.580443296837e-16       1.385167450956e-13       0.000000000000e+00       4.543889497614e-10       4.141886266584e-11      -3.124170014785e-14 
   17       1.167985679477e-10       4.073461029000e-16       1.468870039386e-13       0.000000000000e+00       4.105791478052e-10       3.771620782019e-11      -2.038363669609e-14 
   18       1.183542740604e-10       4.775006592385e-16       1.553821509588e-13       0.000000000000e+00       3.725594435645e-10       3.449819277927e-11      -9.872786074213e-15 
   19       1.199938735362e-10       5.690088033254e-16       1.642513743281e-13       0.000000000000e+00       3.397272005298e-10       3.171400832694e-11      -2.344548227053e-15 
   20       1.217118366606e-10       6.799667434069e-16       1.736982062612e-13       0.000000000000e+00       3.108140340098e-10       2.923914042939e-11       4.282104385036e-16 
